epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4697.15,1.38464,1.13015,0.73656,0.50652,0.4095,0.41956,0.25245,0.24889,2.47529,1.05555,0.72265,0.00898667,0.00898667,0.00898667
40,4818.01,1.40557,1.12235,0.73494,0.51278,0.40766,0.42146,0.25601,0.25098,2.4581,1.05146,0.71935,0.00896,0.00896,0.00896
41,4937.65,1.39881,1.11912,0.73066,0.50744,0.41398,0.42481,0.25347,0.25092,2.45066,1.04988,0.71808,0.00893333,0.00893333,0.00893333
42,5058.17,1.34952,1.11831,0.73109,0.52044,0.40966,0.42581,0.25817,0.25338,2.44676,1.04484,0.71879,0.00890667,0.00890667,0.00890667
43,5178.57,1.37436,1.11422,0.73009,0.52019,0.40748,0.42526,0.25762,0.25207,2.42578,1.04152,0.71553,0.00888,0.00888,0.00888
44,5298.51,1.36988,1.10959,0.73129,0.52782,0.40964,0.42859,0.26099,0.25566,2.43144,1.03911,0.71726,0.00885333,0.00885333,0.00885333
45,5418.96,1.35456,1.09953,0.7297,0.51641,0.42051,0.43199,0.26386,0.25779,2.41872,1.03232,0.71652,0.00882667,0.00882667,0.00882667
46,5538.99,1.34703,1.09783,0.7282,0.52065,0.41711,0.43079,0.26023,0.25687,2.42906,1.03082,0.71548,0.0088,0.0088,0.0088
47,5659.39,1.35941,1.08956,0.72515,0.52199,0.4197,0.43254,0.26695,0.25996,2.40291,1.02643,0.7137,0.00877333,0.00877333,0.00877333
48,5779.68,1.34402,1.07874,0.72579,0.54259,0.41246,0.43701,0.26896,0.26159,2.41215,1.02474,0.71468,0.00874667,0.00874667,0.00874667
49,5899.8,1.31442,1.07861,0.72552,0.52739,0.42051,0.43544,0.26647,0.2601,2.40854,1.02262,0.71363,0.00872,0.00872,0.00872
50,6019.84,1.3411,1.08554,0.72497,0.52839,0.42645,0.44005,0.2667,0.26311,2.39355,1.0183,0.7128,0.00869333,0.00869333,0.00869333
51,6140.89,1.36118,1.06461,0.72258,0.5281,0.42729,0.44286,0.27431,0.26499,2.38833,1.01646,0.71286,0.00866667,0.00866667,0.00866667
52,6260.57,1.35321,1.07219,0.72571,0.52292,0.41997,0.43788,0.27049,0.26297,2.38126,1.01744,0.71083,0.00864,0.00864,0.00864
53,6381.19,1.34552,1.06972,0.724,0.52081,0.42899,0.44065,0.2722,0.26518,2.3713,1.01542,0.71129,0.00861333,0.00861333,0.00861333
54,6501.15,1.31316,1.06824,0.71913,0.52644,0.4297,0.44275,0.27041,0.26516,2.36322,1.00942,0.71022,0.00858667,0.00858667,0.00858667
55,6621.45,1.29871,1.06545,0.72143,0.53042,0.42259,0.44412,0.27445,0.26715,2.36897,1.00606,0.71034,0.00856,0.00856,0.00856
56,6742.22,1.33732,1.05693,0.7226,0.53644,0.42744,0.44777,0.27585,0.26845,2.35578,1.00099,0.70972,0.00853333,0.00853333,0.00853333
57,6862.11,1.29005,1.05688,0.72222,0.53654,0.42494,0.44602,0.27395,0.26865,2.35246,1.00207,0.70792,0.00850667,0.00850667,0.00850667
58,6982.22,1.33915,1.05468,0.72039,0.52763,0.43764,0.44809,0.27596,0.2693,2.34799,1.00112,0.70816,0.00848,0.00848,0.00848
59,7102.74,1.31604,1.04969,0.71548,0.54621,0.4273,0.44754,0.27559,0.2698,2.34374,1.00037,0.70673,0.00845333,0.00845333,0.00845333
60,7223.49,1.31572,1.04184,0.71901,0.53408,0.43263,0.44761,0.27526,0.26932,2.34199,0.9974,0.70637,0.00842667,0.00842667,0.00842667
