epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,10954.1,0.89793,1.12776,0.69741,0,0,0,0,0,0,0,0,0.00853333,0.00853333,0.00853333
57,11149.7,0.88566,1.13935,0.69776,0,0,0,0,0,0,0,0,0.00850667,0.00850667,0.00850667
58,11344.9,0.85383,1.14095,0.69647,0,0,0,0,0,0,0,0,0.00848,0.00848,0.00848
59,11540.4,0.88998,1.13782,0.69821,0,0,0,0,0,0,0,0,0.00845333,0.00845333,0.00845333
60,11736,0.83687,1.13665,0.69587,0,0,0,0,0,0,0,0,0.00842667,0.00842667,0.00842667
61,11931.6,0.91651,1.12352,0.69547,0,0,0,0,0,0,0,0,0.0084,0.0084,0.0084
62,12126.8,0.91879,1.11211,0.69607,0,0,0,0,0,0,0,0,0.00837333,0.00837333,0.00837333
63,12322,0.9077,1.11625,0.6933,0,0,0,0,0,0,0,0,0.00834667,0.00834667,0.00834667
64,12517.7,0.9018,1.10557,0.69311,0,0,0,0,0,0,0,0,0.00832,0.00832,0.00832
65,12712.6,0.89414,1.10603,0.69487,0,0,0,0,0,0,0,0,0.00829333,0.00829333,0.00829333
66,12908.2,0.86545,1.1115,0.6918,0,0,0,0,0,0,0,0,0.00826667,0.00826667,0.00826667
67,13103.3,0.88568,1.10572,0.69029,0,0,0,0,0,0,0,0,0.00824,0.00824,0.00824
68,13299.1,0.88453,1.09728,0.68878,0,0,0,0,0,0,0,0,0.00821333,0.00821333,0.00821333
69,13494.4,0.88112,1.10259,0.69154,0,0,0,0,0,0,0,0,0.00818667,0.00818667,0.00818667
70,13689.9,0.88878,1.08627,0.68972,0,0,0,0,0,0,0,0,0.00816,0.00816,0.00816
71,13885.3,0.88446,1.08518,0.69075,0,0,0,0,0,0,0,0,0.00813333,0.00813333,0.00813333
72,14080.7,0.90125,1.09055,0.68982,0,0,0,0,0,0,0,0,0.00810667,0.00810667,0.00810667
73,14275.7,0.84419,1.08808,0.69135,0,0,0,0,0,0,0,0,0.00808,0.00808,0.00808
74,14471.3,0.85317,1.08499,0.69011,0,0,0,0,0,0,0,0,0.00805333,0.00805333,0.00805333
75,14666.8,0.86247,1.09727,0.69035,0,0,0,0,0,0,0,0,0.00802667,0.00802667,0.00802667
76,14861.9,0.86885,1.07232,0.68901,0,0,0,0,0,0,0,0,0.008,0.008,0.008
77,15057.6,0.86963,1.08103,0.69172,0,0,0,0,0,0,0,0,0.00797333,0.00797333,0.00797333
78,15253,0.88756,1.08441,0.68881,0,0,0,0,0,0,0,0,0.00794667,0.00794667,0.00794667
79,15448,0.90513,1.08494,0.69109,0,0,0,0,0,0,0,0,0.00792,0.00792,0.00792
80,15643.5,0.87111,1.06175,0.68796,0,0,0,0,0,0,0,0,0.00789333,0.00789333,0.00789333
