epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1181.44,1.27504,1.02769,0.79014,0.90255,0.76796,0.85021,0.13114,0.31908,1.04821,1.03964,0.86397,0.0068,0.0068,0.0068
42,1210.11,1.31923,1.04702,0.78196,0.90014,0.81798,0.87983,0.13937,0.33395,1.03214,0.94793,0.8299,0.00672,0.00672,0.00672
43,1238.71,1.18462,1.03181,0.76932,0.8901,0.78449,0.85337,0.12325,0.31392,1.06011,0.97456,0.83167,0.00664,0.00664,0.00664
44,1267.31,1.2135,1.01667,0.76237,0.84001,0.71375,0.75282,0.0756,0.24687,1.18184,1.04278,0.87488,0.00656,0.00656,0.00656
45,1296.09,1.24806,1.00815,0.76447,0.89183,0.81929,0.86725,0.13168,0.32594,1.05823,0.94634,0.82771,0.00648,0.00648,0.00648
46,1324.66,1.22421,1.00781,0.76698,0.90302,0.82623,0.88,0.13142,0.33016,1.05575,0.90853,0.83121,0.0064,0.0064,0.0064
47,1353.32,1.31283,1.01592,0.7611,0.87866,0.80293,0.85429,0.11117,0.30532,1.07933,0.95861,0.84356,0.00632,0.00632,0.00632
48,1381.88,1.2563,1.00816,0.75777,0.85494,0.77447,0.82453,0.11157,0.29395,1.08315,0.9826,0.84232,0.00624,0.00624,0.00624
49,1410.46,1.2072,0.99924,0.75988,0.91368,0.81162,0.88406,0.14884,0.34147,1.02663,0.94392,0.81864,0.00616,0.00616,0.00616
50,1439.18,1.21386,0.98938,0.75978,0.86547,0.7976,0.82929,0.08855,0.27782,1.09924,0.95346,0.85022,0.00608,0.00608,0.00608
51,1467.87,1.2244,0.99311,0.75466,0.89197,0.82247,0.87679,0.13322,0.32906,1.02906,0.94411,0.81853,0.006,0.006,0.006
52,1496.56,1.24696,0.9899,0.74958,0.88034,0.78494,0.83828,0.1116,0.2995,1.07022,0.97268,0.83928,0.00592,0.00592,0.00592
53,1525.28,1.26716,0.97824,0.75703,0.88861,0.80974,0.86621,0.12153,0.32043,1.05252,0.92553,0.83056,0.00584,0.00584,0.00584
54,1553.84,1.25087,0.98363,0.75757,0.90218,0.81133,0.87345,0.12624,0.32321,1.03497,0.93399,0.81922,0.00576,0.00576,0.00576
55,1582.4,1.22024,0.96529,0.7524,0.88572,0.80078,0.85904,0.11231,0.30875,1.06627,0.9378,0.83471,0.00568,0.00568,0.00568
56,1610.93,1.25175,0.95747,0.75673,0.88948,0.80439,0.86808,0.1369,0.3267,1.03901,0.93554,0.82062,0.0056,0.0056,0.0056
57,1639.63,1.20566,0.97225,0.74678,0.80822,0.71101,0.74475,0.06655,0.23215,1.18031,1.06974,0.88889,0.00552,0.00552,0.00552
58,1668.27,1.25269,0.97016,0.75752,0.89661,0.81117,0.86964,0.13289,0.32575,1.03629,0.94523,0.81492,0.00544,0.00544,0.00544
59,1696.76,1.23856,0.96338,0.75368,0.88924,0.79504,0.86536,0.13322,0.32416,1.04473,0.96744,0.82181,0.00536,0.00536,0.00536
60,1725.33,1.20735,0.95401,0.7549,0.89554,0.78329,0.85639,0.1283,0.32011,1.05385,0.97491,0.82221,0.00528,0.00528,0.00528
61,1754,1.15383,0.95179,0.74302,0.89384,0.81919,0.88186,0.13807,0.336,1.03174,0.93387,0.82137,0.0052,0.0052,0.0052
62,1782.6,1.21881,0.94703,0.7572,0.88689,0.82304,0.86534,0.12364,0.31849,1.04887,0.91487,0.82788,0.00512,0.00512,0.00512
63,1811.11,1.21682,0.93929,0.74311,0.88329,0.80786,0.86117,0.13978,0.32526,1.03322,0.92204,0.82071,0.00504,0.00504,0.00504
64,1839.61,1.19276,0.93903,0.74706,0.83348,0.735,0.776,0.08452,0.25586,1.12221,1.03539,0.85958,0.00496,0.00496,0.00496
65,1868.15,1.24671,0.947,0.74962,0.90308,0.81501,0.88139,0.14041,0.33742,1.01151,0.91324,0.81138,0.00488,0.00488,0.00488
66,1896.73,1.20209,0.9452,0.74363,0.84388,0.74845,0.80131,0.09923,0.27602,1.10651,1.00254,0.84933,0.0048,0.0048,0.0048
67,1925.4,1.17648,0.94133,0.74778,0.89794,0.84632,0.88894,0.12881,0.33018,1.02659,0.88811,0.81639,0.00472,0.00472,0.00472
68,1954.13,1.22131,0.93473,0.74625,0.88904,0.83765,0.87976,0.12024,0.32267,1.03166,0.89014,0.82121,0.00464,0.00464,0.00464
69,1982.65,1.26577,0.92746,0.74553,0.90267,0.81596,0.88432,0.12951,0.32816,1.03284,0.91917,0.81754,0.00456,0.00456,0.00456
70,2011.14,1.1894,0.93421,0.74566,0.86859,0.78265,0.83258,0.10378,0.28948,1.08623,0.93642,0.84625,0.00448,0.00448,0.00448
71,2039.78,1.21916,0.92713,0.73724,0.8588,0.77967,0.81791,0.09038,0.27564,1.11554,0.94546,0.85634,0.0044,0.0044,0.0044
72,2068.5,1.2096,0.92725,0.7407,0.89488,0.83996,0.88868,0.13549,0.33405,1.01806,0.86918,0.8137,0.00432,0.00432,0.00432
73,2097.21,1.18724,0.92453,0.73948,0.89852,0.82203,0.88063,0.13232,0.32682,1.03653,0.89723,0.82263,0.00424,0.00424,0.00424
74,2125.87,1.20589,0.91033,0.73507,0.85364,0.77187,0.81196,0.08815,0.26835,1.11139,0.9561,0.8612,0.00416,0.00416,0.00416
75,2154.58,1.21186,0.91979,0.74431,0.88236,0.81321,0.86101,0.11523,0.30695,1.05664,0.90132,0.83137,0.00408,0.00408,0.00408
76,2183.21,1.13197,0.92194,0.74019,0.88002,0.79644,0.84786,0.1061,0.29663,1.07202,0.9248,0.83826,0.004,0.004,0.004
77,2211.88,1.18077,0.9128,0.73755,0.86187,0.8135,0.84362,0.1034,0.29014,1.07692,0.91032,0.8433,0.00392,0.00392,0.00392
78,2240.5,1.13783,0.90765,0.7487,0.88756,0.83649,0.86754,0.11157,0.30782,1.05952,0.87199,0.8349,0.00384,0.00384,0.00384
