epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,10951.8,0.90468,1.23867,0.71453,0,0,0,0,0,0,0,0,0.00853333,0.00853333,0.00853333
57,11147,0.89295,1.24748,0.71439,0,0,0,0,0,0,0,0,0.00850667,0.00850667,0.00850667
58,11342.4,0.86493,1.25671,0.71423,0,0,0,0,0,0,0,0,0.00848,0.00848,0.00848
59,11538.1,0.89733,1.23854,0.71541,0,0,0,0,0,0,0,0,0.00845333,0.00845333,0.00845333
60,11733.6,0.83858,1.24386,0.71186,0,0,0,0,0,0,0,0,0.00842667,0.00842667,0.00842667
61,11929.5,0.92431,1.2304,0.71249,0,0,0,0,0,0,0,0,0.0084,0.0084,0.0084
62,12125.7,0.93419,1.22356,0.71199,0,0,0,0,0,0,0,0,0.00837333,0.00837333,0.00837333
63,12761.2,0.91205,1.21925,0.70726,0,0,0,0,0,0,0,0,0.00834667,0.00834667,0.00834667
64,13410.5,0.90424,1.21906,0.70902,0,0,0,0,0,0,0,0,0.00832,0.00832,0.00832
65,14055.3,0.89862,1.21048,0.71083,0,0,0,0,0,0,0,0,0.00829333,0.00829333,0.00829333
66,14705.9,0.87027,1.21679,0.70825,0,0,0,0,0,0,0,0,0.00826667,0.00826667,0.00826667
67,15353.7,0.89106,1.21381,0.70583,0,0,0,0,0,0,0,0,0.00824,0.00824,0.00824
68,16001,0.88837,1.19959,0.70539,0,0,0,0,0,0,0,0,0.00821333,0.00821333,0.00821333
69,16647.5,0.88806,1.20286,0.70801,0,0,0,0,0,0,0,0,0.00818667,0.00818667,0.00818667
70,17295.4,0.89234,1.19053,0.70513,0,0,0,0,0,0,0,0,0.00816,0.00816,0.00816
71,17693.8,0.89173,1.18913,0.70692,0,0,0,0,0,0,0,0,0.00813333,0.00813333,0.00813333
72,18341.1,0.9098,1.19711,0.70713,0,0,0,0,0,0,0,0,0.00810667,0.00810667,0.00810667
